Position,Match Day,Estadistica,Distance (m),"Speed Zones (m) [0.0, 6.0]km/h (m)",Abs HSR(m),Sprint Abs (m),Sprint Rel (m),Explosive Dist (m),Max Acceleration,Accelerations,Decelerations,Dif. ACC/DEC,Step Balance (%),Total impacts,Distance (m) diff,"Speed Zones (m) [0.0, 6.0]km/h (m) diff",Abs HSR(m) diff,Sprint Abs (m) diff,Sprint Rel (m) diff,Explosive Dist (m) diff,Max Acceleration diff,Accelerations diff,Decelerations diff,Dif. ACC/DEC diff,Step Balance (%) diff,Total impacts diff
Extremo,+2 MD,p90,4342.27731175497,1797.70239257813,244.517927923618,103.575868139983,0.0,570.757441110321,4.74493255719592,1954.0,1956.0,14.0,0.0410353490244565,9741.0,39.0,39.21,26.05,18.72,,40.3,79.98,56.8,57.04,,124.42,40.14
Extremo,+2 MD,p95,4649.58699562347,2010.19689941406,350.452446615959,174.201610690816,0.0,690.336901890147,4.99323657466104,2140.0,2142.0,22.0,0.0523896822656655,9972.0,40.42,41.91,36.47,30.78,0.0,47.22,77.23,61.98,61.62,1100.0,141.13,38.84
Extremo,No MD,mean,4372.515635316593,1743.705982863302,253.05188925461246,98.75462785801221,2.287992288224025,504.25753369366413,4.390244995045978,1908.8989898989898,1915.8989898989898,0.5050505050505051,0.007978242656995083,9278.38383838384,51.82,55.71,42.98,35.52,103.81,49.24,87.54,79.3,79.4,-2.48,55.7,54.24
Extremo,No MD,median,4031.43808043864,1625.04248046875,188.53577030644,55.0049550899309,0.0,495.147433774342,4.43274423680724,1900.0,1911.0,1.0,0.00767312337054536,8616.0,42.56,51.13,32.01,21.41,,44.17,90.9,77.76,78.06,-6.45,54.81,44.6
Extremo,No MD,max,10482.0608211303,3918.6279296875,842.24634686894,531.557443648863,39.3993115793046,1348.76081322607,6.88086697399014,3090.0,3117.0,32.0,0.0766600737148918,20294.0,81.49,69.8,75.12,74.0,96.28,87.8,87.8,82.31,83.1,290.91,162.75,69.96
Extremo,No MD,min,1009.92351240732,102.890716552734,0.0,0.0,0.0,55.0983300548699,2.35401511292666,462.0,460.0,-35.0,-0.0491782472689978,2354.0,46.69,14.7,0.0,0.0,,20.83,68.6,94.87,94.85,47.95,180.68,61.27
Extremo,No MD,p75,4957.81415099945,2048.724609375,381.873366140933,137.993136337362,0.0,625.678728975491,4.66628791883537,2193.0,2204.0,9.0,0.0225074289690907,10819.0,46.46,48.66,49.25,41.01,,48.53,88.28,70.76,70.75,-180.0,93.42,52.29
Extremo,No MD,p90,6919.52858280616,2579.45483398438,648.626223286558,250.733087585428,0.0,765.913997355846,5.09935198809563,2506.0,2510.0,13.0,0.0336487225433078,15196.0,62.15,56.26,69.11,45.32,,54.08,85.95,72.85,73.2,,102.02,62.61
Extremo,No MD,p95,8373.12875480109,2966.27685546875,736.877919848284,374.386079483891,20.5890231806099,966.012725762268,5.35804288856911,2740.0,2738.0,18.0,0.0478591544394729,18671.0,72.8,61.84,76.68,66.16,158.16,66.07,82.88,79.35,78.77,900.0,128.93,72.72
Extremo,+1 MD,mean,3325.9816392923544,1565.5425395259158,121.35360476913661,38.78493001367406,0.6137803959856556,364.8318468503584,3.8458451510733718,1543.3333333333333,1548.3333333333333,0.05555555555555555,0.001585831819708362,6915.111111111111,39.42,50.02,20.61,13.95,27.85,35.63,76.69,64.11,64.16,-0.27,11.07,40.42
